time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3
0,0.25274831798093006,0.2527483262837801,0.2527483252127307,-0.3837251054108452,-0.3837251054108452,-0.3837251054108452
1,0.23684675992722082,0.23684676826121448,0.2368467670832267,-0.1646614804266347,-0.1646614804266347,-0.1646614804266347
2,0.22452903873427982,0.22452904695189624,0.22452904582654878,0.030358658393269955,0.03035865860084122,0.030358658574065
3,0.21569027932782486,0.21569028739385065,0.21569028632772527,0.1982976746670309,0.1982976752282519,0.19829767515328262
4,0.21008295697125517,0.21008296505916163,0.2100829639243162,0.33706998091998297,0.337069981928655,0.3370699817928692
5,0.20734392931211207,0.20734393731233408,0.20734393622297848,0.445866903488429,0.44586690499716564,0.44586690479493907
6,0.20702896617144118,0.20702897409270354,0.20702897304605083,0.5252424113859708,0.5252424134206745,0.5252424131483655
7,0.208649621768688,0.20864962950385763,0.20864962862545186,0.577017516322646,0.577017518886702,0.577017518544896
8,0.21170839749579812,0.2117084052109452,0.21170840435553726,0.6040607926133281,0.6040607956941959,0.6040607952862367
9,0.21572929729499862,0.2157293049957439,0.2157293041547663,0.6099978287103859,0.6099978322818432,0.6099978318158993
10,0.22028198078036781,0.22028198847147334,0.2202819876381492,0.5988948521857252,0.5988948562165977,0.5988948557002965
11,0.22499869891190194,0.22499870659612375,0.2249987057656426,0.5749525267640192,0.5749525312205492,0.5749525306605541
12,0.22958400587334699,0.22958401355135852,0.2295840127208105,0.5422361005484635,0.5422361053959787,0.5422361047978194
13,0.23381785688757994,0.23381786437052043,0.23381786372647498,0.5044585768497789,0.5044585820537895,0.5044585814218907
14,0.23755312189152725,0.2375531293808962,0.23755312872004644,0.46482504189517954,0.46482504742205355,0.4648250467598975
15,0.24070878259180448,0.24070879008368712,0.24070878940808316,0.4259391490890751,0.4259391549017273,0.4259391542167865
16,0.24326015959523473,0.24326016708541637,0.24326016639787065,0.3897672514551057,0.38976725751970276,0.38976725681720736
17,0.24522746793637393,0.24522747542103562,0.24522747472469286,0.35765183919361304,0.3576518454792291,0.35765184476285494
18,0.2466638569857948,0.2466638644618968,0.24666386375988386,0.33036368470432137,0.33036369118263514,0.3303636904550634
19,0.2476438875505354,0.24764389501662104,0.24764389431178663,0.30818122914908364,0.30818123579414486,0.3081812350574882
20,0.24825316514704585,0.24825317236490502,0.24825317189746904,0.29098600642653244,0.2909860132146019,0.2909860124707023
21,0.2485796095086991,0.24857961672599144,0.2485796162493355,0.27836400780512877,0.2783640147145975,0.27836401396521043
22,0.24870661645864833,0.24870662367449786,0.24870662319080294,0.2697045591627088,0.2697045661681151,0.2697045654209436
23,0.24870817360462547,0.24870818081875024,0.2487081803296983,0.2642902507305038,0.264290257810479,0.2642902570711941
24,0.24864583454609263,0.2486458417586551,0.2486458412654611,0.26137350170605517,0.2613735088428015,0.26137350811549376
25,0.24856734119634233,0.24856734840781058,0.24856734791128526,0.26023728049812006,0.26023728767697574,0.26023728696448534
26,0.2485066099970398,0.24850661720806455,0.24850661670869345,0.2602392064693837,0.2602392136784465,0.26023921298260544
27,0.24848476172819367,0.24848476893950494,0.24848476843753328,0.2608396496340224,0.260839656863812,0.2608396561856251
28,0.248511870627164,0.2485118778394853,0.24851187733499894,0.2616154828929907,0.26161549013613583,0.2616154894759225
29,0.248589129751851,0.24858913696583312,0.24858913645883032,0.26226182535189396,0.2622618326028366,0.26226183196034863
30,0.24871116868295418,0.2487111758991249,0.24871117538957438,0.2625844714179652,0.2625844786726793,0.2625844780472052
31,0.24886830974303054,0.248868316961768,0.24886831644965213,0.2624857746280159,0.26248578188374044,0.2624857812742023
32,0.24904860364457254,0.2490486108660644,0.24904861035140757,0.261946604936075,0.26194661219106374,0.2619466115961099
33,0.2492395396539516,0.24923954687821703,0.24923954636110054,0.2610066853107154,0.261006692564007,0.26100669198210025
34,0.24942937498468193,0.24942938221159017,0.2494293816921558,0.2597451983746242,0.259745205625835,0.25974520505533577
35,0.24960807047506064,0.24960807770436208,0.24960807718280684,0.25826309110394413,0.25826309835308797,0.2582630977923298
36,0.249767853105587,0.24976786033695111,0.24976785981351618,0.25666804123732934,0.25666804848466573,0.2566680479320213
37,0.24990345004405706,0.2499034572771089,0.24990345675206455,0.25506261869582986,0.255062625941742,0.255062625395678
38,0.25001205398171356,0.2500120612160685,0.2500120606896986,0.25353580396182496,0.2535358112067268,0.2535358106658461
39,0.250093086475476,0.25009309371076555,0.25009309318335243,0.2521577277953123,0.25215773503958305,0.25215773450265394
40,0.2501478261809831,0.2501478334168769,0.2501478328886876,0.250977278653604,0.25097728589754714,0.2509772853635198
41,0.25017896380344407,0.2501789710396621,0.2501789705109383,0.2500220840941561,0.25002209133797937,0.2500220908059906
42,0.25019013690688874,0.2501901441432077,0.2501901436141581,0.24930030305370748,0.24930031029751912,0.24930030976688708
43,0.2501854869176582,0.2501854941539124,0.2501854936247084,0.2488036562201335,0.2488036634639512,0.248803662934162
44,0.2501692690606709,0.2501692762967492,0.2501692757675241,0.2485111586960214,0.248511165939789,0.24851116541047732
45,0.25014553465879763,0.2501455418946368,0.2501455413654873,0.24839308915771563,0.24839309640132454,0.24839309587225053
46,0.2501178950167731,0.2501179022523493,0.2501179017233382,0.24841481969888107,0.24841482694219252,0.2484148264132171
47,0.2500893675401301,0.2500893747754507,0.25008937424661204,0.2485402289340348,0.24854023617690105,0.24854023564796138
48,0.2500622980945837,0.25006230532967755,0.25006230480102226,0.24873451816356135,0.24873452540584381,0.2487345248769303
49,0.2500383489646778,0.2500383561995878,0.2500383556711087,0.24896633919730055,0.2489663464388837,0.24896634591001984
50,0.2500185390234851,0.25001854625826075,0.2500185457299386,0.2492092178543086,0.24920922509510937,0.24920922456633496
51,0.2500033216543817,0.2500033288890727,0.25000332836088085,0.24944231643006262,0.24944232367003516,0.24944232314139322
52,0.24999268626952117,0.24999269350417314,0.24999269297608204,0.24965062066499133,0.24965062790412781,0.2496506273756553
53,0.24998627060855785,0.24998627784320965,0.24998627731518985,0.24982466259772898,0.24982466983605683,0.24982466930777877
54,0.2499834730339277,0.2499834802686089,0.24998347974063354,0.24995990190401104,0.24995990914158767,0.24995990861351447
55,0.24998355644869577,0.24998356368342678,0.2499835631554734,0.25005588739775175,0.25005589463465766,0.25005589410678475
56,0.24998573797620224,0.24998574521099448,0.24998574468304563,0.25011531016361876,0.25011531739995,0.2501153168722593
57,0.24998926093866697,0.24998926817352435,0.2499892676455677,0.2501430432224604,0.25014305045832075,0.2501430499307835
58,0.249993447794866,0.2499934550297856,0.24999345450181384,0.25014524244681885,0.2501452496823128,0.25014524915489306
59,0.24999773444309156,0.24999774167806615,0.24999774115007606,0.2501285620388458,0.25012856927407245,0.25012856874673073
60,0.25000168761554836,0.2500016948505672,0.25000169432255914,0.25009951719808965,0.2500995244331381,0.2500995239058346
61,0.2500050079790345,0.25000501521408586,0.25000501468606257,0.2500640080822115,0.2500640153171577,0.2500640147898555
62,0.2500075220437347,0.2500075292788063,0.2500075287507722,0.2500270037428312,0.2500270109777361,0.25002701045040315
63,0.2500091661210133,0.25000917335609385,0.25000917282805385,0.24999237288823284,0.24999238012314193,0.24999237959575266
64,0.2500099654307181,0.2500099726657979,0.2500099721377571,0.24996284018198978,0.24996284741693373,0.24996284688946985
65,0.2500100111130833,0.25001001834815506,0.2500100178201182,0.24994004212133916,0.24994004935633532,0.2499400488287859
66,0.25000943742313586,0.2500094446581938,0.2500094441301649,0.2499246549199757,0.24992466215503015,0.24992466162739116
67,0.25000840084326936,0.2500084080783108,0.25000840755029224,0.24991656767841858,0.24991657491352864,0.24991657438580203
68,0.2500070622988878,0.2500070695339109,0.25000706900590486,0.24991507683109038,0.24991508406624707,0.24991508353843964
69,0.2500055731469565,0.2500055803819621,0.2500055798539689,0.24991908178372382,0.24991908901891424,0.24991908849103628
70,0.25000406515939355,0.2500040723943824,0.25000407186640217,0.24992726621818104,0.24992727345339052,0.24992727292545455
71,0.250002644361488,0.250002651596463,0.2500026510684945,0.2499382542477052,0.2499382614829191,0.2499382609549386
72,0.25000138831806124,0.25000139555302503,0.250001395025067,0.24995073505987322,0.24995074229507824,0.2499507417670666
73,0.2500003462857958,0.25000035352075173,0.2500003529928022,0.24996355360234293,0.2499635608375281,0.24996356030949773
74,0.24999954156111032,0.24999954879606118,0.24999954826811827,0.24997576806953578,0.24997577530469303,0.24997577477665472
75,0.2499989753364,0.2499989825713484,0.24999898204341026,0.24998667735415328,0.24998668458927753,0.2499866840612401
76,0.24999863141801917,0.24999863865296718,0.24999863812503192,0.24999582323366332,0.24999583046875243,0.24999582994072253
77,0.24999848124077198,0.24999848847572126,0.2499984879477875,0.25000297292849144,0.25000298016354583,0.250002979635528
78,0.24999848872023228,0.24999849595518442,0.24999849542725064,0.25000808789876483,0.250008095133787,0.25000809460578377
79,0.24999861460187994,0.24999862183683513,0.24999862130890063,0.25001128446865795,0.25001129170365205,0.2500112911756642
80,0.24999882008317756,0.24999882731813616,0.2499988267902003,0.25001279121993786,0.25001279845490904,0.25001279792693587
81,0.24999906959235818,0.24999907682732014,0.24999907629938245,0.2500129072142636,0.25001291444921736,0.2500129139212573
82,0.24999933269968186,0.24999933993464696,0.24999933940670735,0.2500119641093333,0.2500119713442751,0.2500119708163259
83,0.24999958520973817,0.24999959244470593,0.2499995919167645,0.2500102942299135,0.2500103014648485,0.25001030093690757
84,0.24999980953574824,0.24999981677071764,0.24999981624277465,0.25000820572108184,0.25000821295601444,0.25000821242807914
85,0.24999999448940538,0.25000000172437636,0.250000001196432,0.2500059651038375,0.25000597233877125,0.25000597181083906
86,0.25000013463459186,0.25000014186956343,0.2500001413416181,0.2500037869060759,0.2500037941410134,0.25000379361308217
87,0.2500002293532265,0.2500002365881987,0.2500002360602526,0.25000182956821887,0.25000183680316196,0.2500018362752299
88,0.25000028175999806,0.25000028899496973,0.2500002884670233,0.2500001965194703,0.25000020375441984,0.25000020322648575
89,0.2500002975832477,0.2500003048182193,0.2500003042902727,0.2499989411721864,0.24999894840714262,0.24999894787920568
90,0.25000028410521336,0.25000029134018426,0.25000029081223774,0.24999807456424766,0.24999808179921018,0.24999808127127
91,0.25000024922902747,0.2500002564639977,0.25000025593605135,0.24999757446399742,0.24999758169896544,0.249997581171022
92,0.25000020071479,0.25000020794975936,0.2500002074218133,0.2499973949093174,0.24999740214428987,0.24999740161634346
93,0.2500001456043775,0.25000015283934596,0.2500001523114004,0.2499974753530482,0.24999748258802393,0.24999748206007502
94,0.2500000898356757,0.25000009707064375,0.25000009654269845,0.24999774880574144,0.24999775604071925,0.24999775551276845
95,0.25000003803221216,0.25000004526717945,0.25000004473923465,0.24999814858258684,0.24999815581756565,0.2499981552896136
96,0.2499999934439017,0.2500000006788692,0.2500000001509245,0.24999861345827834,0.24999862069325718,0.2499986201653045
97,0.24999995800857594,0.249999965243543,0.24999996471559846,0.24999909120068328,0.2499990984356614,0.24999909790770866
98,0.24999993250162234,0.2499999397365893,0.24999993920864488,0.24999954058536913,0.249999547820346,0.24999954729239368
99,0.24999991674180172,0.2499999239767688,0.24999992344882452,0.24999993208640037,0.24999993932137568,0.24999993879342414
100,0.2499999098243056,0.2499999170592727,0.24999991653132833,0.25000024749578853,0.25000025473076215,0.2500002542028116
101,0.24999991035667957,0.24999991759164691,0.24999991706370256,0.2500004787484817,0.2500004859834537,0.25000048545550424
102,0.24999991667863083,0.24999992391359843,0.24999992338565402,0.25000062622735114,0.25000063346232165,0.2500006329343733
103,0.24999992705234125,0.24999993428730882,0.2499999337593643,0.25000069679961706,0.25000070403458635,0.25000070350663905
104,0.2499999398152778,0.2499999470502457,0.24999994652230095,0.2500007017990411,0.25000070903400945,0.2500007085060631
105,0.2499999534922378,0.24999996072720582,0.249999960199261,0.2500006551230855,0.2500006623580532,0.2500006618301076
106,0.24999996686726791,0.249999974102236,0.24999997357429116,0.2500005715664153,0.2500005788013826,0.25000057827343763
107,0.24999997901906873,0.2499999862540369,0.24999998572609194,0.2500004654659066,0.2500004727008738,0.2500004721729292
108,0.24999998932549133,0.24999999656045946,0.24999999603251433,0.25000034969091517,0.25000035692588246,0.25000035639793816
109,0.24999999744384468,0.250000004678813,0.2500000041508679,0.2500002349780529,0.2500002422130205,0.2500002416850763
110,0.25000000327407096,0.25000001050903925,0.2500000099810941,0.25000012958319234,0.2500001368181603,0.25000013629021606
111,0.2500000069115461,0.2500000141465144,0.2500000136185693,0.2500000392050936,0.250000046440062,0.2500000459121176
112,0.2500000085955353,0.2500000158305035,0.2500000153025584,0.249999967124456,0.24999997435942484,0.24999997383148023
113,0.25000000865827443,0.25000001589324256,0.2500000153652975,0.24999991449838288,0.24999992173335217,0.24999992120540732
114,0.25000000747847456,0.2500000147134427,0.2500000141854976,0.24999988075195523,0.2499998879869249,0.2499998874589798
115,0.250000005441829,0.2500000126767972,0.2500000121488521,0.24999986401443564,0.24999987124940562,0.2499998707214603
116,0.2500000029099757,0.25000001014494383,0.2500000096169988,0.24999986155617834,0.24999986879114858,0.24999986826320306
117,0.25000000019837965,0.2500000074333475,0.2500000069054026,0.24999987019231326,0.24999987742728366,0.24999987689933797
118,0.2499999975628046,0.25000000479777257,0.2500000042698276,0.24999988662960115,0.24999989386457167,0.24999989333662587
119,0.24999999519345975,0.25000000242842774,0.25000000190048266,0.249999907742648,0.24999991497761856,0.24999991444967268
120,0.24999999321551464,0.25000000045048265,0.24999999992253769,0.24999993077428345,0.24999993800925402,0.2499999374813081
121,0.24999999169449358,0.24999999892946168,0.24999999840151663,0.249999953461956,0.2499999606969265,0.2499999601689806
122,0.24999999064501413,0.24999999787998223,0.24999999735203723,0.24999997409728822,0.24999998133225865,0.24999998080431277
123,0.24999999004143603,0.24999999727640398,0.24999999674845902,0.24999999152946475,0.2499999987644351,0.24999999823648925
124,0.24999998982916008,0.24999999706412807,0.24999999653618307,0.2500000051250218,0.2500000123599921,0.2500000118320463
125,0.24999998993556088,0.249999997170529,0.249999996642584,0.25000001469709904,0.25000002193206927,0.25000002140412353
126,0.2499999902797936,0.2499999975147617,0.2499999969868166,0.2500000204165849,0.2500000276515551,0.2500000271236094
127,0.24999999078097607,0.24999999801594414,0.24999999748799917,0.2500000227161409,0.25000002995111104,0.25000002942316535
128,0.24999999136449175,0.24999999859945993,0.24999999807151485,0.2500000221961269,0.25000002943109695,0.25000002890315126
129,0.2499999919663543,0.2499999992013225,0.24999999867337747,0.25000001953923917,0.25000002677420924,0.25000002624626355
130,0.24999999253574554,0.24999999977071358,0.2499999992427685,0.2500000154384423,0.2500000226734123,0.2500000221454667
131,0.2499999930359472,0.25000000027091523,0.24999999974297019,0.2500000105407008,0.2500000177756708,0.2500000172477252
132,0.24999999344396714,0.25000000067893513,0.25000000015099005,0.2500000054072261,0.2500000126421962,0.25000001211425055
133,0.24999999374918436,0.25000000098415265,0.25000000045620757,0.25000000048951454,0.2500000077244846,0.250000007196539
134,0.24999999395134798,0.25000000118631616,0.250000000658371,0.2499999961194006,0.25000000335437067,0.25000000282642504
135,0.24999999405822698,0.25000000129319494,0.25000000076525,0.2499999925106756,0.24999999974564568,0.24999999921770003
136,0.2499999940831804,0.2500000013181482,0.2500000007902033,0.2499999897694895,0.24999999700445963,0.24999999647651394
137,0.24999999404284756,0.25000000127781563,0.25000000074987055,0.24999998791071498,0.24999999514568513,0.24999999461773942
138,0.24999999395511477,0.2500000011900829,0.2500000006621378,0.24999998687763797,0.24999999411260815,0.2499999935846624
139,0.24999999383744806,0.25000000107241627,0.25000000054447113,0.24999998656268754,0.24999999379765775,0.24999999326971198
140,0.24999999370564188,0.2500000009406097,0.2500000004126646,0.2499999868273616,0.2499999940623318,0.24999999353438604
141,0.24999999357297975,0.2500000008079478,0.2500000002800027,0.24999998751999006,0.24999999475496026,0.2499999942270145
142,0.24999999344978505,0.2500000006847531,0.2500000001568082,0.24999998849045593,0.2499999957254261,0.24999999519748034
143,0.24999999334329948,0.25000000057826754,0.25000000005032247,0.24999998960143166,0.2499999968364018,0.24999999630845604
144,0.24999999325782787,0.2500000004927958,0.24999999996485078,0.249999990736059,0.24999999797102912,0.24999999744308335
145,0.24999999319507812,0.25000000043004605,0.24999999990210106,0.24999999180229227,0.24999999903726236,0.24999999850931662
146,0.24999999315462276,0.25000000038959075,0.24999999986164576,0.24999999273433254,0.2499999999693026,0.24999999944135687
